start station name,start station latitude,start station longitude,count_s20
6 Ave & 9 St,40.668127,-73.98377641,561
6 Ave & Broome St,40.72430832,-74.00473036,3442
6 Ave & Canal St,40.72243797,-74.00566443,1396
6 Ave & W 33 St,40.74901271,-73.98848395,4063
6 Ave & W 34 St,40.74964,-73.98805,3244
6 St & 7 Ave,40.6686627,-73.97988067,1002
7 Ave & Central Park South,40.76674056,-73.97906899,5268
7 Ave & Park Pl,40.6776147,-73.97324283,1101
7 St & 3 Ave,40.67260298,-73.98983002,319
7 St & 5 Ave,40.6704922,-73.98541675,456
8 Ave & W 31 St,40.75058535,-73.99468482,2625
8 Ave & W 33 St,40.751551,-73.993934,3572
8 Ave & W 52 St,40.76370739,-73.9851615,4910
8 Ave & W 52 St,40.764,-73.986,1
9 Ave & W 18 St,40.74317449,-74.00366443,1859
9 Ave & W 22 St,40.7454973,-74.00197139,4541
9 Ave & W 28 St,40.74937024,-73.99923384,2800
9 Ave & W 45 St,40.76019252,-73.9912551,3803
9 St & 44 Rd,40.74966,-73.9521,755
Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,647
Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,789
Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,942
Adam Clayton Powell Blvd & W 123 St,40.809,-73.95,1
Adam Clayton Powell Blvd & W 126 St,40.80949535,-73.94776493,1233
Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168,593
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,937
Albany Ave & Fulton St,40.6800105,-73.938475,558
Allen St & Hester St,40.71605866,-73.99190759,2752
Allen St & Rivington St,40.72019576,-73.98997825,3029
Allen St & Stanton St,40.722055,-73.989111,2990
Amsterdam Ave & W 119 St,40.8086249,-73.9596214,376
Amsterdam Ave & W 125 St,40.813358,-73.956461,1440
Amsterdam Ave & W 131 St,40.816355,-73.954295,469
Amsterdam Ave & W 136 St,40.819746,-73.951819,496
Amsterdam Ave & W 66 St,40.7746671,-73.98470567,1147
Amsterdam Ave & W 73 St,40.77966809,-73.98093045,3944
Amsterdam Ave & W 79 St,40.7829391,-73.9786517,2577
Amsterdam Ave & W 82 St,40.78524672,-73.97667321,2104
Astoria Park S & Shore Blvd,40.7767,-73.927631,2444
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,1659
Atlantic Ave & Furman St,40.69165183,-73.9999786,3484
Avenue C & E 18 St,40.730563,-73.973984,1993
Avenue D & E 12 St,40.72580614,-73.97422494,1145
Avenue D & E 3 St,40.72082834,-73.97793172,1625
Avenue D & E 8 St,40.72387,-73.975767,1618
Baltic St & 5 Ave,40.6795766,-73.97854971,836
Bank St & Hudson St,40.73652889,-74.00618026,2853
Bank St & Washington St,40.7361967,-74.00859207,3104
Banker St & Meserole Ave,40.72606,-73.95621,933
Barclay St & Church St,40.71291224,-74.01020234,1207
Barrow St & Hudson St,40.73172428,-74.00674436,3344
Bayard St & Baxter St,40.71602118,-73.99974372,2019
Bayard St & Leonard St,40.71915572,-73.94885391,932
Beaver St & Fayette St,40.70099,-73.93921,729
Bedford Ave & Bergen St,40.676368,-73.952918,1696
Bedford Ave & Montgomery St,40.665816,-73.956934,451
Bedford Ave & Nassau Ave,40.72311651,-73.95212324,2077
Bedford Ave & S 9 St,40.70853074,-73.96408963,690
Bergen St & Flatbush Ave,40.68094472,-73.97567332,1172
Bergen St & Smith St,40.6867443,-73.99063168,1458
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,1439
Berkeley Pl & 6 Ave,40.6765304,-73.97846879,462
Berkeley Pl & 7 Ave,40.67514684,-73.97523209,1048
Berry St & N 8 St,40.7190095,-73.95852515,1587
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,1154
Boerum St & Broadway,40.70538077,-73.94976519,826
